Name,Position,Species,Speed,Strength,Gumption,Finesse,Accuracy,Wow_Factor,Catchphrase,Projected_Skill,Status,Player_Team,City_Team,GPs,TPs,City_team
Octo of the Deep,TE,Sea Creature,7,83,57,26,60,84,Octo of the Deep is ready to roll!,50,Healthy,No Team,No Team,0,0.0,
Titan of the Deep Coralbreaker,RB,Turtle,99,45,88,61,67,68,Titan of the Deep Coralbreaker is ready to roll!,73,Active,Demon Loons of Longview,Dublin Alchoholics,0,19.6,
Unleashed Blaze,RB,Wolf,55,67,29,77,56,58,Unleashed Blaze is ready to roll!,54,Benched,No Team,Lima Llamas,0,0.0,
Sliding GenTooth,WR,Penguin,38,8,15,97,90,10,Sliding GenTooth is ready to roll!,56,Benched,No Team,Boise Boys,0,0.0,
Ravager Velvetdash,QB,Rabbit,94,69,21,58,47,74,Ravager Velvetdash is ready to roll!,52,Healthy,No Team,No Team,0,0.0,
Diggs Boulderback,RB,Badger,51,37,66,56,77,71,Diggs Boulderback is ready to roll!,63,Benched,No Team,Vancouver Maples,0,0.0,
Winnie Honey,K,Bear,25,8,22,17,22,91,Winnie Honey is ready to roll!,16,Healthy,No Team,No Team,0,0.0,
Claw Sharpclaw,RB,Lynx,76,11,92,28,52,82,Claw Sharpclaw is ready to roll!,64,Active,No Team,Djibouti Warriors,0,0.52,
Storm Windtalon,K,Hawk,97,75,15,63,92,95,Storm Windtalon is ready to roll!,69,Active,No Team,Boston Walkers,0,38.0,
Tide Lagoon,WR,Turtle,1,78,67,20,42,86,Tide Lagoon is ready to roll!,25,Healthy,No Team,No Team,0,0.0,
Crawling Clown,K,Horror,41,77,59,21,89,80,Crawling Clown is ready to roll!,66,Benched,No Team,LA Sunkillers,0,0.0,
Shelly Stoneback,WR,Turtle,7,67,63,68,19,98,Shelly Stoneback is ready to roll!,49,Healthy,No Team,No Team,0,0.0,
Brindle Snowstalker,TE,Lynx,69,88,9,81,80,70,Brindle Snowstalker is ready to roll!,50,Healthy,No Team,No Team,0,0.0,
Happy Night Diver,WR,Penguin,74,11,38,65,51,63,Happy Night Diver is ready to roll!,68,Active,No Team,New York Sewers,0,8.48,
Honk Crusher Defender,WR,Goose,66,5,14,87,75,22,Honk Crusher Defender is ready to roll!,65,Active,No Team,Vancouver Maples,0,8.88,
Dash Firewhisker,QB,Fox,64,37,31,38,82,40,Dash Firewhisker is ready to roll!,53,Healthy,No Team,No Team,0,0.0,
Scrap King Bandit,QB,Raccoon,41,78,28,86,21,70,Scrap King Bandit is ready to roll!,45,Healthy,No Team,No Team,0,0.0,
Sleepy Eclipse,K,Bear,24,17,71,32,92,90,Sleepy Eclipse is ready to roll!,69,Active,Developers,Dublin Alchoholics,0,36.0,
Nimble Mudwhisker,TE,Otter,61,32,65,20,65,23,Nimble Mudwhisker is ready to roll!,38,Healthy,No Team,No Team,0,0.0,
Tank Shellington,RB,Turtle,97,41,44,23,67,64,Tank Shellington is ready to roll!,39,Healthy,No Team,No Team,0,0.0,
Southern Witch Stepdad,K,Human,36,85,2,25,46,85,Southern Witch Stepdad is ready to roll!,34,Healthy,No Team,No Team,0,0.0,
The Wrath Shellbane,WR,Turtle,72,29,94,72,62,4,The Wrath Shellbane is ready to roll!,58,Benched,No Team,Miami Palm Fronds,0,0.0,
Rampager Brutal Burrow,QB,Badger,99,14,7,33,10,96,Rampager Brutal Burrow is ready to roll!,26,Healthy,No Team,No Team,0,0.0,
Nessie Waves,WR,Sea Creature,20,62,56,13,96,36,Nessie Waves is ready to roll!,20,Healthy,No Team,No Team,0,0.0,
Winged Wrecker Gallant,TE,Goose,64,62,42,39,51,77,Winged Wrecker Gallant is ready to roll!,47,Healthy,No Team,No Team,0,0.0,
Thumper 'The Crusher' Scarletfang,WR,Rabbit,6,14,26,80,4,49,Thumper 'The Crusher' Scarletfang is ready to roll!,44,Healthy,No Team,No Team,0,0.0,
Local Lady of the Lake,WR,Human,57,45,37,1,96,76,Local Lady of the Lake is ready to roll!,38,Healthy,No Team,No Team,0,0.0,
Clawmaster Nightclaw,TE,Lynx,49,97,75,94,75,65,Clawmaster Nightclaw is ready to roll!,80,Active,Charmander These Nuts,Sydney Kangeroos,0,29.08,
Shellstorm Shellshock,QB,Turtle,7,94,70,15,82,36,Shellstorm Shellshock is ready to roll!,59,Healthy,No Team,No Team,0,0.0,
The Gov'na Bossman,TE,Human,21,28,87,31,27,48,The Gov'na Bossman is ready to roll!,56,Healthy,No Team,No Team,0,0.0,
Rust Cinderfang,RB,Fox,37,72,29,97,50,96,Rust Cinderfang is ready to roll!,69,Active,No Team,Vancouver Maples,0,13.48,
Sleepy Dozer,QB,Bear,67,81,96,74,49,63,Sleepy Dozer is ready to roll!,71,Active,anxious ponchos,Paris Frenchmen,0,71.7,
Beastly Vixenshadow,WR,Fox,86,42,65,64,67,93,Beastly Vixenshadow is ready to roll!,78,Active,Developers,Lima Llamas,0,12.28,
The Gov'na Stepdad,TE,Human,51,39,50,20,73,24,The Gov'na Stepdad is ready to roll!,32,Healthy,No Team,No Team,0,0.0,
Quick Claws Mousey,QB,Cat,83,89,15,1,10,70,Quick Claws Mousey is ready to roll!,32,Healthy,No Team,No Team,0,0.0,
Wild Vixenshadow,QB,Fox,92,88,47,57,51,69,Wild Vixenshadow is ready to roll!,62,Benched,No Team,Dallas Tumbleweeds,0,0.0,
Diggs Dirtpaw,TE,Badger,83,63,10,20,54,56,Diggs Dirtpaw is ready to roll!,23,Healthy,No Team,No Team,0,0.0,
Fin Nemo,TE,Sea Creature,34,67,22,69,43,64,Fin Nemo is ready to roll!,49,Healthy,No Team,No Team,0,0.0,
Lupin Greyhide,TE,Wolf,93,20,57,85,94,61,Lupin Greyhide is ready to roll!,68,Benched,No Team,Chicago Snowstorm,0,0.0,
Stonecrusher Darkfang,K,Badger,39,78,99,82,34,83,Stonecrusher Darkfang is ready to roll!,25,Healthy,No Team,No Team,0,0.0,
Cyclops Man,QB,Monster,59,41,91,4,15,47,Cyclops Man is ready to roll!,41,Healthy,No Team,No Team,0,0.0,
ReefStalker Tentacles,K,Sea Creature,50,17,81,54,87,12,ReefStalker Tentacles is ready to roll!,65,Benched,No Team,Vancouver Maples,0,0.0,
Nibbles Meadowtail,RB,Rabbit,13,38,42,49,15,50,Nibbles Meadowtail is ready to roll!,46,Healthy,No Team,No Team,0,0.0,
Rust Foxley,RB,Fox,96,63,77,78,58,87,Rust Foxley is ready to roll!,79,Active,anxious ponchos,Madrid Mothers,0,96.01999999999995,
Honk Crusher Waddle,TE,Goose,14,63,48,13,100,1,Honk Crusher Waddle is ready to roll!,24,Healthy,No Team,No Team,0,0.0,
Wooly Summoner,K,Monster,23,16,59,53,70,88,Wooly Summoner is ready to roll!,52,Healthy,No Team,No Team,0,0.0,
Titan of the Deep Slow Tide,WR,Turtle,3,12,61,3,72,67,Titan of the Deep Slow Tide is ready to roll!,15,Healthy,No Team,No Team,0,0.0,
River Finsley,RB,Otter,48,77,79,64,9,88,River Finsley is ready to roll!,74,Active,Mochlings,Denver Boulders,0,26.22,
Stonecrusher Brutal Burrow,RB,Badger,42,38,77,40,74,20,Stonecrusher Brutal Burrow is ready to roll!,50,Healthy,No Team,No Team,0,0.0,
Sea Serpant Gryphon,QB,Monster,72,34,78,83,83,78,Sea Serpant Gryphon is ready to roll!,72,Active,Mind Goblins,Jakarta Divers,0,69.13999999999997,
Lynx King Silentstrike,QB,Lynx,98,83,57,62,6,15,Lynx King Silentstrike is ready to roll!,52,Healthy,No Team,No Team,0,0.0,
Fang Howlington,TE,Wolf,61,69,77,15,98,8,Fang Howlington is ready to roll!,38,Healthy,No Team,No Team,0,0.0,
Sky's Fury Vengeful Talon,WR,Hawk,9,27,16,17,21,26,Sky's Fury Vengeful Talon is ready to roll!,15,Healthy,No Team,No Team,0,0.0,
Slyfire Darkflame,K,Fox,81,59,33,83,40,44,Slyfire Darkflame is ready to roll!,30,Healthy,No Team,No Team,0,0.0,
Dead Nightmare,TE,Horror,57,68,80,55,51,58,Dead Nightmare is ready to roll!,65,Benched,No Team,Artic Angels,0,0.0,
Clumsey Chinstrap,QB,Penguin,29,89,18,68,46,78,Clumsey Chinstrap is ready to roll!,47,Healthy,No Team,No Team,0,0.0,
Manta Eel,RB,Sea Creature,41,77,34,75,11,65,Manta Eel is ready to roll!,56,Benched,No Team,Mexico City Ballers,0,0.0,
Tidal Terror,K,Turtle,79,78,88,44,63,14,Tidal Terror is ready to roll!,47,Healthy,No Team,No Team,0,0.0,
Quickfoot Shadowthump,WR,Rabbit,24,82,57,27,98,48,Quickfoot Shadowthump is ready to roll!,30,Healthy,No Team,No Team,0,0.0,
Prowler Icefang,TE,Lynx,80,49,21,25,62,3,Prowler Icefang is ready to roll!,19,Healthy,No Team,No Team,0,0.0,
Fury Emberstrike,TE,Fox,21,57,4,92,82,27,Fury Emberstrike is ready to roll!,43,Healthy,No Team,No Team,0,0.0,
Artic Honey,WR,Bear,6,36,97,84,91,55,Artic Honey is ready to roll!,47,Healthy,No Team,No Team,0,0.0,
Moss Reefwalker,K,Turtle,89,50,29,92,28,23,Moss Reefwalker is ready to roll!,21,Healthy,No Team,No Team,0,0.0,
Brutus Clawmaster,K,Badger,65,76,8,7,71,10,Brutus Clawmaster is ready to roll!,53,Healthy,No Team,No Team,0,0.0,
Masked Marauder King Trashpaw,RB,Raccoon,94,43,90,76,34,92,Masked Marauder King Trashpaw is ready to roll!,84,Active,Mind Goblins,Paris Frenchmen,0,50.17999999999999,
Iroh Flooferson,QB,Cat,100,87,1,13,95,95,Iroh Flooferson is ready to roll!,58,Healthy,No Team,No Team,0,0.0,
Night Rook Bandit,RB,Raccoon,94,78,67,18,25,31,Night Rook Bandit is ready to roll!,40,Healthy,No Team,No Team,0,0.0,
Wild Otter Swiftcurrent,QB,Otter,81,60,71,78,18,59,Wild Otter Swiftcurrent is ready to roll!,55,Healthy,No Team,No Team,0,0.0,
Nightmare Vile Fang,WR,Wolf,86,95,87,37,94,59,Nightmare Vile Fang is ready to roll!,61,Benched,No Team,Auckland Spiders,0,0.0,
Cyclops Gorgon,K,Monster,30,77,70,16,8,1,Cyclops Gorgon is ready to roll!,6,Healthy,No Team,No Team,0,0.0,
Claw Snowstalker,TE,Lynx,46,21,76,59,58,11,Claw Snowstalker is ready to roll!,56,Healthy,No Team,No Team,0,0.0,
Iron Beak Pebbles,WR,Penguin,25,97,75,34,16,31,Iron Beak Pebbles is ready to roll!,29,Healthy,No Team,No Team,0,0.0,
Iron Beak Wild Style,WR,Penguin,65,55,60,48,17,21,Iron Beak Wild Style is ready to roll!,49,Healthy,No Team,No Team,0,0.0,
Clawmaster Cinderstrike,K,Lynx,61,19,99,86,62,7,Clawmaster Cinderstrike is ready to roll!,46,Healthy,No Team,No Team,0,0.0,
Paddlebreaker Swiftcurrent,WR,Otter,67,79,36,57,16,40,Paddlebreaker Swiftcurrent is ready to roll!,57,Benched,No Team,LA Sunkillers,0,0.0,
Royal Chimera,WR,Monster,64,83,93,75,52,20,Royal Chimera is ready to roll!,59,Benched,No Team,Chicago Snowstorm,0,0.0,
Hopper Softpaw,QB,Rabbit,45,21,20,13,59,26,Hopper Softpaw is ready to roll!,34,Healthy,No Team,No Team,0,0.0,
Howling Storm Rogue Nightstalker,RB,Wolf,91,7,50,19,20,20,Howling Storm Rogue Nightstalker is ready to roll!,31,Healthy,No Team,No Team,0,0.0,
Masked Marauder The Wrecking,WR,Raccoon,50,59,33,7,6,59,Masked Marauder The Wrecking is ready to roll!,34,Healthy,No Team,No Team,0,0.0,
Rogue Stormpaw,WR,Wolf,92,58,33,100,77,29,Rogue Stormpaw is ready to roll!,82,Active,Forever Box,Cyprus Gods,0,37.96,
Talon Thunderbeak,QB,Hawk,17,53,95,68,59,50,Talon Thunderbeak is ready to roll!,62,Benched,No Team,Miami Palm Fronds,0,0.0,
Zorro Gutteridge,TE,Raccoon,32,36,40,99,20,55,Zorro Gutteridge is ready to roll!,66,Benched,No Team,Moscow Mules,0,0.0,
Sliding Torpedo,TE,Penguin,32,94,91,39,36,4,Sliding Torpedo is ready to roll!,52,Healthy,No Team,No Team,0,0.0,
Sea Serpant Deep Sea Tyrant,QB,Turtle,35,24,47,5,55,56,Sea Serpant Deep Sea Tyrant is ready to roll!,37,Healthy,No Team,No Team,0,0.0,
Wild Sinister,TE,Fox,83,55,50,90,67,61,Wild Sinister is ready to roll!,68,Benched,No Team,Jakarta Divers,0,0.0,
Winged Wrecker Darkwing,TE,Goose,41,77,72,34,24,7,Winged Wrecker Darkwing is ready to roll!,43,Healthy,No Team,No Team,0,0.0,
Ravager Thumper,K,Rabbit,95,21,71,22,83,80,Ravager Thumper is ready to roll!,62,Benched,No Team,Artic Angels,0,0.0,
Nightmare Terror,RB,Horror,96,69,32,5,80,38,Nightmare Terror is ready to roll!,22,Healthy,No Team,No Team,0,0.0,
Scraps Gutteridge,TE,Raccoon,60,81,20,54,65,48,Scraps Gutteridge is ready to roll!,39,Healthy,No Team,No Team,0,0.0,
Razertooth Killer,RB,Horror,71,23,11,61,20,5,Razertooth Killer is ready to roll!,29,Healthy,No Team,No Team,0,0.0,
Iroh Bleepy,K,Cat,82,21,50,73,85,53,Iroh Bleepy is ready to roll!,63,Benched,No Team,Mexico City Ballers,0,0.0,
Mystical Man,RB,Monster,95,81,79,9,20,57,Mystical Man is ready to roll!,46,Healthy,No Team,No Team,0,0.0,
Quickfoot Scarletfang,WR,Rabbit,100,48,63,84,70,81,Quickfoot Scarletfang is ready to roll!,89,Active,Mecha-Shoebills,Madrid Mothers,0,21.040000000000003,
Rainbow Wave Crusher,K,Sea Creature,89,16,74,66,86,34,Rainbow Wave Crusher is ready to roll!,64,Benched,No Team,Boise Boys,0,0.0,
Winged Cthulhu,QB,Horror,16,27,89,82,84,55,Winged Cthulhu is ready to roll!,66,Active,No Team,Madrid Mothers,0,50.59999999999999,
Rusty Maskwell,WR,Raccoon,14,18,1,16,78,92,Rusty Maskwell is ready to roll!,30,Healthy,No Team,No Team,0,0.0,
The Gov'na Sanders,QB,Human,52,57,83,4,78,65,The Gov'na Sanders is ready to roll!,60,Benched,No Team,Philly Flowers,0,0.0,
Wind Featherstrike,K,Hawk,44,56,27,52,45,68,Wind Featherstrike is ready to roll!,33,Healthy,No Team,No Team,0,0.0,
Bubbles Mudwhisker,WR,Otter,40,22,16,14,69,40,Bubbles Mudwhisker is ready to roll!,29,Healthy,No Team,No Team,0,0.0,
Nimble Paddlemore,QB,Otter,6,50,84,24,49,67,Nimble Paddlemore is ready to roll!,47,Healthy,No Team,No Team,0,0.0,
Masked Marauder Quickpaw,RB,Raccoon,95,92,22,96,60,100,Masked Marauder Quickpaw is ready to roll!,67,Active,No Team,Dubuque Psychos,0,2.72,
Dark Panther,WR,Cat,46,40,66,93,59,94,Dark Panther is ready to roll!,74,Active,anxious ponchos,Moscow Mules,0,0.8800000000000001,
Dash Quickfoot,TE,Rabbit,6,77,45,7,87,34,Dash Quickfoot is ready to roll!,27,Healthy,No Team,No Team,0,0.0,
Diggs Hollowfang,QB,Badger,6,87,99,65,39,47,Diggs Hollowfang is ready to roll!,60,Benched,No Team,Boston Walkers,0,0.0,
Sky Crusher Viperwing,QB,Hawk,60,55,64,10,45,28,Sky Crusher Viperwing is ready to roll!,47,Healthy,No Team,No Team,0,0.0,
Sky Crusher Cindersky,QB,Hawk,31,70,27,81,87,100,Sky Crusher Cindersky is ready to roll!,61,Benched,No Team,Jackson Hole Holy Jacks,0,0.0,
Flapstorm Honkerson,K,Goose,64,81,65,83,34,27,Flapstorm Honkerson is ready to roll!,25,Healthy,No Team,No Team,0,0.0,
Grizzle Clawmaster,WR,Badger,82,35,79,73,85,96,Grizzle Clawmaster is ready to roll!,81,Active,Charmander These Nuts,Dubuque Psychos,0,1.5200000000000002,
Otter King Brave Paddler,RB,Otter,73,3,38,89,89,15,Otter King Brave Paddler is ready to roll!,53,Healthy,No Team,No Team,0,0.0,
Iroh Clawson,TE,Cat,8,78,49,31,89,95,Iroh Clawson is ready to roll!,51,Healthy,No Team,No Team,0,0.0,
Beak of Doom Hawkbeak,QB,Goose,38,4,1,35,8,63,Beak of Doom Hawkbeak is ready to roll!,14,Healthy,No Team,No Team,0,0.0,
Silent Nightroar,RB,Lynx,10,52,30,86,91,81,Silent Nightroar is ready to roll!,62,Benched,No Team,LA Sunkillers,0,0.0,
Moon Cub,WR,Bear,89,36,57,74,91,36,Moon Cub is ready to roll!,72,Active,Gnome Punters,Artic Angels,0,2.52,
Mystical Chimera,TE,Monster,77,81,49,56,93,3,Mystical Chimera is ready to roll!,42,Healthy,No Team,No Team,0,0.0,
Silent Stonehide,WR,Lynx,11,33,100,40,93,34,Silent Stonehide is ready to roll!,27,Healthy,No Team,No Team,0,0.0,
Wild Otter Frostbite,TE,Otter,54,53,6,16,30,80,Wild Otter Frostbite is ready to roll!,24,Healthy,No Team,No Team,0,0.0,
Clown Angelfish,K,Sea Creature,91,60,34,73,64,3,Clown Angelfish is ready to roll!,48,Healthy,No Team,No Team,0,0.0,
Chilled Seal Killer,K,Penguin,85,68,92,35,41,58,Chilled Seal Killer is ready to roll!,30,Healthy,No Team,No Team,0,0.0,
Captain of the Deep,TE,Sea Creature,52,30,31,4,27,40,Captain of the Deep is ready to roll!,22,Healthy,No Team,No Team,0,0.0,
Feather Honkerson,K,Goose,42,20,26,37,22,9,Feather Honkerson is ready to roll!,16,Healthy,No Team,No Team,0,0.0,
The Wrath Terror,K,Turtle,63,8,85,36,4,29,The Wrath Terror is ready to roll!,3,Healthy,No Team,No Team,0,0.0,
Octo Lake Legend,K,Sea Creature,92,51,92,94,28,8,Octo Lake Legend is ready to roll!,21,Healthy,No Team,No Team,0,0.0,
Lynx King Nightclaw,QB,Lynx,33,72,73,10,78,5,Lynx King Nightclaw is ready to roll!,58,Healthy,No Team,No Team,0,0.0,
Silent Strike Cinderstrike,TE,Lynx,70,75,52,95,28,91,Silent Strike Cinderstrike is ready to roll!,77,Active,BonerFarts,Paris Frenchmen,0,34.44,
Brutus Deepclaw,RB,Badger,35,70,5,63,33,19,Brutus Deepclaw is ready to roll!,31,Healthy,No Team,No Team,0,0.0,
Waddles Honkerson,TE,Goose,13,93,39,33,52,3,Waddles Honkerson is ready to roll!,29,Healthy,No Team,No Team,0,0.0,
Sky's Fury Darkstorm,RB,Hawk,100,38,80,17,14,53,Sky's Fury Darkstorm is ready to roll!,49,Healthy,No Team,No Team,0,0.0,
Flame Devil,RB,Monster,38,74,44,93,69,58,Flame Devil is ready to roll!,66,Active,Pengwins,New York Sewers,0,29.82,
River Oceansong,K,Otter,19,82,16,20,73,47,River Oceansong is ready to roll!,54,Healthy,No Team,No Team,0,0.0,
Beak of Doom Captain Honkman,WR,Goose,38,44,28,36,63,96,Beak of Doom Captain Honkman is ready to roll!,48,Healthy,No Team,No Team,0,0.0,
Dude Sanders,QB,Human,2,71,74,79,88,97,Dude Sanders is ready to roll!,68,Active,Armored Ducks,Boise Boys,0,71.47999999999998,
Unleashed Bloodmoon Howler,RB,Wolf,94,32,23,52,9,86,Unleashed Bloodmoon Howler is ready to roll!,47,Healthy,No Team,No Team,0,0.0,
Grizzle Boulderback,QB,Badger,51,81,2,74,34,15,Grizzle Boulderback is ready to roll!,42,Healthy,No Team,No Team,0,0.0,
Bubbles Paddlemore,K,Otter,33,38,3,7,73,90,Bubbles Paddlemore is ready to roll!,54,Healthy,No Team,No Team,0,0.0,
Puffer ReefStalker,TE,Sea Creature,14,71,30,52,42,30,Puffer ReefStalker is ready to roll!,38,Healthy,No Team,No Team,0,0.0,
Rainbow Angelfish,TE,Sea Creature,81,80,41,23,58,59,Rainbow Angelfish is ready to roll!,37,Healthy,No Team,No Team,0,0.0,
Huntress Lioness,TE,Cat,98,56,46,4,60,94,Huntress Lioness is ready to roll!,38,Healthy,No Team,No Team,0,0.0,
Forsaken Clown,RB,Horror,32,73,30,28,26,7,Forsaken Clown is ready to roll!,24,Healthy,No Team,No Team,0,0.0,
Rampager Doomclaw,WR,Badger,66,47,91,75,26,79,Rampager Doomclaw is ready to roll!,72,Active,Gnome Punters,Boston Walkers,0,17.48,
Chilled Wild Style,WR,Penguin,54,20,81,7,69,2,Chilled Wild Style is ready to roll!,24,Healthy,No Team,No Team,0,0.0,
Sea Serpant Venomspike,QB,Turtle,83,36,30,32,47,65,Sea Serpant Venomspike is ready to roll!,43,Healthy,No Team,No Team,0,0.0,
Wind Sunwing,WR,Hawk,98,38,46,54,14,18,Wind Sunwing is ready to roll!,64,Active,No Team,Boise Boys,0,8.48,
Floofy of the Jungle,TE,Cat,21,14,36,34,48,75,Floofy of the Jungle is ready to roll!,43,Healthy,No Team,No Team,0,0.0,
Splash Finsley,RB,Otter,4,65,72,26,57,10,Splash Finsley is ready to roll!,41,Healthy,No Team,No Team,0,0.0,
Huntress Panther,K,Cat,31,73,82,22,25,59,Huntress Panther is ready to roll!,18,Healthy,No Team,No Team,0,0.0,
Winged Wrecker Waddle,TE,Goose,5,27,9,17,95,70,Winged Wrecker Waddle is ready to roll!,24,Healthy,No Team,No Team,0,0.0,
Clover Fleetwhisker,TE,Rabbit,41,68,78,92,49,71,Clover Fleetwhisker is ready to roll!,82,Active,Armored Ducks,Cape Town Heroes,0,31.18,
John Reeves,TE,Human,44,95,52,79,62,88,John Reeves is ready to roll!,70,Active,Pengwins,Jackson Hole Holy Jacks,0,16.8,
Rainbow of the Deep,RB,Sea Creature,51,33,94,76,87,81,Rainbow of the Deep is ready to roll!,84,Active,Developers,Cleveland Devils,0,10.52,
Tusk Deepclaw,WR,Badger,59,23,81,93,49,23,Tusk Deepclaw is ready to roll!,65,Active,BonerFarts,LA Sunkillers,0,16.4,
Thumper 'The Crusher' Warren Fury,WR,Rabbit,48,30,26,23,4,34,Thumper 'The Crusher' Warren Fury is ready to roll!,35,Healthy,No Team,No Team,0,0.0,
Shellstorm Braveshell,RB,Turtle,72,74,10,60,95,76,Shellstorm Braveshell is ready to roll!,43,Healthy,No Team,No Team,0,0.0,
Thumper 'The Crusher' Hopper,QB,Rabbit,37,71,53,82,35,32,Thumper 'The Crusher' Hopper is ready to roll!,52,Healthy,No Team,No Team,0,0.0,
The Wrath Shellshock,QB,Turtle,86,65,90,10,53,96,The Wrath Shellshock is ready to roll!,61,Benched,No Team,Cyprus Gods,0,0.0,
Hops of Fury Hopper,WR,Rabbit,68,56,81,38,72,77,Hops of Fury Hopper is ready to roll!,57,Benched,No Team,Dubuque Psychos,0,0.0,
